symbol,yahoo_symbol,company_name,isin,isin_valid,segment,exchange,listing_series,current_series,surveillance_band,surveillance_remarks,listing_date,face_value,paidup_value,market_lot,etf_underlying,previous_symbol,symbol_change_date,previous_company_name,name_change_date,nifty_industry,in_nifty50,in_nifty_next50,in_nifty100,in_nifty200,in_nifty500,data_sources,pipeline_run_at
NETWORK18,NETWORK18.NS,Network18 Media & Investments Limited,INE870H01013,True,EQUITY,NSE,EQ,EQ,20,-,2007-02-02,5.0,5.0,1.0,,,,Network 18 Fincap Limited,2010-01-13,,False,False,False,False,False,EQUITY_L;sec_list;namechange,2026-07-06T15:21:16+00:00
NEUEON,NEUEON.NS,Neueon Corporation Limited,INE333I01044,True,EQUITY,NSE,BE,BE,5,-,2013-09-11,1.0,1.0,1.0,,NTL,2025-12-22,Neueon Towers Limited,2025-12-22,,False,False,False,False,False,EQUITY_L;sec_list;symbolchange;namechange,2026-07-06T15:21:16+00:00
NEULANDLAB,NEULANDLAB.NS,Neuland Laboratories Limited,INE794A01010,True,EQUITY,NSE,EQ,EQ,20,-,2008-10-13,10.0,10.0,1.0,,,,,,Healthcare,False,False,False,False,True,EQUITY_L;sec_list;nifty500,2026-07-06T15:21:16+00:00
NEWGEN,NEWGEN.NS,Newgen Software Technologies Limited,INE619B01017,True,EQUITY,NSE,EQ,EQ,20,-,2018-01-29,10.0,10.0,1.0,,,,,,Information Technology,False,False,False,False,True,EQUITY_L;sec_list;nifty500,2026-07-06T15:21:16+00:00
NEXT30ADD,NEXT30ADD.NS,DSPAMC - NEXT30ADD,INF740KA1VE5,True,ETF,NSE,,EQ,20,-,2025-02-05,10.0,,1.0,BSE SENSEX Next 30 Index,,,,,,False,False,False,False,False,eq_etfseclist;sec_list,2026-07-06T15:21:16+00:00
NEXT50,NEXT50.NS,MIRAEAMC-MANXT50,INF769K01FN2,True,ETF,NSE,,EQ,20,-,2020-01-30,275.0,,1.0,NiftyNext50,MANXT50,2023-09-01,,,,False,False,False,False,False,eq_etfseclist;sec_list;symbolchange,2026-07-06T15:21:16+00:00
NEXT50ADD,NEXT50ADD.NS,DSPAMC - NEXT50ADD,INF740KA1XU7,True,ETF,NSE,,EQ,20,-,2026-01-09,10.0,,1.0,Nifty Next 50 TRI,,,,,,False,False,False,False,False,eq_etfseclist;sec_list,2026-07-06T15:21:16+00:00
NEXT50BETA,NEXT50BETA.NS,UTIAMC -NEXT50BETA,INF789F1AUW9,True,ETF,NSE,,EQ,20,-,2017-08-08,1.0,,1.0,NiftyNext50,UTINEXT50,2025-12-24,,,,False,False,False,False,False,eq_etfseclist;sec_list;symbolchange,2026-07-06T15:21:16+00:00
NEXT50ETF,NEXT50ETF.NS,KOTAKMAMC - NEXT50ETF,INF174KA1YO3,True,ETF,NSE,,EQ,20,-,2026-01-14,10.0,,1.0,Nifty Next 50 Index,,,,,,False,False,False,False,False,eq_etfseclist;sec_list,2026-07-06T15:21:16+00:00
NEXT50IETF,NEXT50IETF.NS,ICICIPRAMC-ICICINXT50,INF109KC1NS5,True,ETF,NSE,,EQ,20,-,2018-08-30,1.0,,1.0,NiftyNext50,ICICINXT50,2023-12-20,,,,False,False,False,False,False,eq_etfseclist;sec_list;symbolchange,2026-07-06T15:21:16+00:00
NEXTMEDIA,NEXTMEDIA.NS,Next Mediaworks Limited,INE747B01016,True,EQUITY,NSE,EQ,EQ,20,GSM STAGE - 0,2001-04-04,10.0,10.0,1.0,,MID-DAY,2011-06-15,Mid-Day Multimedia Limited,2011-06-15,,False,False,False,False,False,EQUITY_L;sec_list;symbolchange;namechange,2026-07-06T15:21:16+00:00
